QBlade v0.963 64bit

 Calculated polar for: NACA 0012

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-18.500,-1.0090, 0.14435, 0.14223, 0.0215,1.0000,0.0121,-7.1528, 0.0000, 0.2451
-18.000,-1.1203, 0.11296, 0.11042, 0.0046,1.0000,0.0120,-8.4130, 0.0000, 0.2283
-17.500,-1.1846, 0.09307, 0.09022,-0.0060,1.0000,0.0120,-8.9602, 0.0000, 0.2200
-17.000,-1.2359, 0.07676, 0.07361,-0.0146,1.0000,0.0120,-9.2988, 0.0000, 0.2144
-16.500,-1.2736, 0.06339, 0.05996,-0.0215,1.0000,0.0120,-9.4601, 0.0000, 0.2105
-16.000,-1.2980, 0.05278, 0.04908,-0.0268,1.0000,0.0120,-9.4686, 0.0000, 0.2080
-15.500,-1.3095, 0.04457, 0.04062,-0.0303,1.0000,0.0121,-9.3441, 0.0000, 0.2066
-15.000,-1.3118, 0.03837, 0.03420,-0.0320,1.0000,0.0121,-9.1266, 0.0000, 0.2065
-14.500,-1.3347, 0.03113, 0.02657,-0.0311,1.0000,0.0125,-9.0813, 0.0000, 0.2086
-14.000,-1.3532, 0.02579, 0.02084,-0.0265,1.0000,0.0134,-8.9883, 0.0000, 0.2133
-13.500,-1.3427, 0.02324, 0.01813,-0.0219,1.0000,0.0147,-8.6508, 0.0000, 0.2175
-13.000,-1.3170, 0.02180, 0.01660,-0.0181,1.0000,0.0158,-8.1971, 0.0000, 0.2209
-12.500,-1.2816, 0.02059, 0.01530,-0.0157,1.0000,0.0168,-7.6925, 0.0000, 0.2232
-12.000,-1.2414, 0.01964, 0.01426,-0.0138,1.0000,0.0179,-7.1717, 0.0000, 0.2250
-11.500,-1.1985, 0.01881, 0.01336,-0.0122,1.0000,0.0185,-6.7152, 0.0000, 0.2267
-11.000,-1.1552, 0.01796, 0.01244,-0.0106,1.0000,0.0188,-6.2737, 0.0000, 0.2285
-10.500,-1.1239, 0.01590, 0.01013,-0.0071,1.0000,0.0213,-5.9623, 0.0000, 0.2320
-10.000,-1.0814, 0.01491, 0.00912,-0.0051,1.0000,0.0237,-5.5558, 0.0000, 0.2343
 -9.500,-1.0370, 0.01420, 0.00836,-0.0032,1.0000,0.0258,-5.1441, 0.0000, 0.2365
 -9.000,-0.9921, 0.01369, 0.00780,-0.0013,1.0000,0.0269,-4.7359, 0.0000, 0.2389
 -8.500,-0.9532, 0.01265, 0.00671, 0.0018,1.0000,0.0321,-4.3875, 0.0000, 0.2426
 -8.000,-0.9104, 0.01210, 0.00614, 0.0042,1.0000,0.0356,-4.0132, 0.0000, 0.2460
 -7.500,-0.8692, 0.01146, 0.00551, 0.0070,1.0000,0.0421,-3.6614, 0.0000, 0.2499
 -7.000,-0.8265, 0.01102, 0.00506, 0.0094,1.0000,0.0471,-3.3103, 0.0000, 0.2538
 -6.500,-0.7624, 0.01038, 0.00447, 0.0073,0.9974,0.0592,-2.9293, 0.0000, 0.2524
 -6.000,-0.6932, 0.00973, 0.00395, 0.0041,0.9940,0.0794,-2.5843, 0.0000, 0.2491
 -5.500,-0.6261, 0.00910, 0.00348, 0.0013,0.9897,0.1081,-2.2565, 0.0000, 0.2457
 -5.000,-0.5577, 0.00847, 0.00304,-0.0017,0.9845,0.1458,-1.9384, 0.0000, 0.2409
 -4.500,-0.4876, 0.00784, 0.00265,-0.0050,0.9800,0.1972,-1.6563, 0.0000, 0.2338
 -4.000,-0.4290, 0.00729, 0.00232,-0.0057,0.9671,0.2492,-1.4300, 0.0000, 0.2312
 -3.500,-0.3735, 0.00678, 0.00203,-0.0055,0.9500,0.3069,-1.2203, 0.0000, 0.2298
 -3.000,-0.3202, 0.00637, 0.00180,-0.0047,0.9278,0.3630,-1.0496, 0.0000, 0.2300
