j,a[i],a_prime[i],beta[i],I[i],CL[i],e_a[i],e_a_prime[i]
0, 0.492396, -0.492158, 41.829740, 19.170260, 1.933000, 0.000000, 0.000000
1, 0.213510, 2.084075, 17.752502, 43.247498, 1.933000, 56.638666, 523.456765
2, 0.486751, 1.212203, 51.447755, 9.552245, 1.127445, 127.976219, 41.834950
3, 0.466094, 1.056031, 54.056987, 6.943013, 0.889276, 4.243828, 12.883318
4, 0.485606, 1.231457, 50.940940, 10.059060, 1.155444, 4.186332, 16.611841
5, 0.463592, 1.043622, 54.232114, 6.767886, 0.871036, 4.533290, 15.253078
6, 0.483809, 1.240132, 50.639853, 10.360147, 1.167024, 4.360795, 18.829612
7, 0.463437, 1.042865, 54.242750, 6.757250, 0.869928, 4.210644, 15.906979
8, 0.483668, 1.240591, 50.621310, 10.378690, 1.167598, 4.365416, 18.959882
9, 0.463464, 1.042996, 54.240914, 6.759086, 0.870119, 4.177276, 15.927503
10, 0.483693, 1.240512, 50.624513, 10.375487, 1.167500, 4.364671, 18.937436
11, 0.463459, 1.042971, 54.241252, 6.758748, 0.870084, 4.183156, 15.924127
12, 0.483688, 1.240527, 50.623923, 10.376077, 1.167518, 4.364810, 18.941576
13, 0.463460, 1.042976, 54.241191, 6.758809, 0.870090, 4.182076, 15.924755
14, 0.483689, 1.240524, 50.624030, 10.375970, 1.167515, 4.364785, 18.940821
15, 0.463460, 1.042975, 54.241202, 6.758798, 0.870089, 4.182273, 15.924640
16, 0.483689, 1.240524, 50.624011, 10.375989, 1.167515, 4.364789, 18.940959
17, 0.463460, 1.042975, 54.241200, 6.758800, 0.870090, 4.182237, 15.924661
18, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940934
19, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182243, 15.924657
20, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364789, 18.940938
21, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
22, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
23, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
24, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
25, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
26, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
27, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
28, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
29, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
30, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
31, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
32, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
33, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
34, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
35, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
36, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
37, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
38, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
39, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
40, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
41, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
42, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
43, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
44, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
45, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
46, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
47, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
48, 0.483689, 1.240524, 50.624014, 10.375986, 1.167515, 4.364788, 18.940937
49, 0.463460, 1.042975, 54.241200, 6.758800, 0.870089, 4.182242, 15.924658
0, 0.310276, 0.286905, 68.663060, 5.636940, 0.754434, 0.000000, 0.000000
1, 0.279089, 0.058429, 71.480628, 2.819372, 0.486011, 10.051366, 79.634593
2, 0.321535, 0.085548, 66.940774, 7.359226, 0.932388, 15.209021, 46.412231
3, 0.310274, 0.075750, 68.663273, 5.636727, 0.754412, 3.502397, 11.452791
4, 0.314132, 0.078675, 68.162898, 6.137102, 0.805537, 1.243540, 3.861423
5, 0.312910, 0.077719, 68.327099, 5.972901, 0.788649, 0.389203, 1.215036
6, 0.313305, 0.078025, 68.274593, 6.025407, 0.794039, 0.126483, 0.393936
7, 0.313178, 0.077927, 68.291536, 6.008464, 0.792299, 0.040607, 0.126558
8, 0.313219, 0.077958, 68.286084, 6.013916, 0.792858, 0.013088, 0.040781
9, 0.313206, 0.077948, 68.287840, 6.012160, 0.792678, 0.004213, 0.013128
10, 0.313210, 0.077952, 68.287275, 6.012725, 0.792736, 0.001357, 0.004228
11, 0.313209, 0.077950, 68.287457, 6.012543, 0.792717, 0.000437, 0.001361
12, 0.313209, 0.077951, 68.287398, 6.012602, 0.792723, 0.000141, 0.000438
13, 0.313209, 0.077951, 68.287417, 6.012583, 0.792722, 0.000045, 0.000141
0, 0.349490, -0.121796, 78.430640, 6.469360, 0.839954, 0.000000, 0.000000
1, 0.332542, 0.024055, 76.966929, 7.933071, 0.990350, 4.849392, 119.750197
2, 0.350141, 0.022287, 78.487477, 6.412523, 0.834048, 5.292319, 7.351411
3, 0.353344, 0.021935, 78.764329, 6.135671, 0.805389, 0.914738, 1.576165
4, 0.353932, 0.021871, 78.814559, 6.085441, 0.800213, 0.166434, 0.292982
5, 0.354040, 0.021859, 78.823790, 6.076210, 0.799263, 0.030612, 0.054073
6, 0.354060, 0.021857, 78.825491, 6.074509, 0.799088, 0.005642, 0.009972
7, 0.354064, 0.021857, 78.825805, 6.074195, 0.799056, 0.001040, 0.001839
8, 0.354065, 0.021857, 78.825863, 6.074137, 0.799050, 0.000192, 0.000339
0, 0.360918, -0.186522, 82.154467, 6.945533, 0.889538, 0.000000, 0.000000
1, 0.318692, 0.010867, 80.704874, 8.395126, 1.034615, 11.699641, 105.825979
2, 0.356275, 0.010422, 82.007235, 7.092765, 0.904843, 11.792953, 4.092365
3, 0.370244, 0.010238, 82.439618, 6.660382, 0.859835, 3.920620, 1.768775
4, 0.375722, 0.010166, 82.600500, 6.499500, 0.843088, 1.479571, 0.704322
5, 0.377918, 0.010137, 82.663644, 6.436356, 0.836524, 0.584669, 0.283162
6, 0.378807, 0.010125, 82.688974, 6.411026, 0.833893, 0.235213, 0.114652
7, 0.379168, 0.010120, 82.699225, 6.400775, 0.832828, 0.095306, 0.046573
8, 0.379315, 0.010119, 82.703389, 6.396611, 0.832396, 0.038729, 0.018945
9, 0.379375, 0.010118, 82.705083, 6.394917, 0.832220, 0.015757, 0.007711
10, 0.379399, 0.010117, 82.705772, 6.394228, 0.832149, 0.006413, 0.003139
11, 0.379409, 0.010117, 82.706052, 6.393948, 0.832120, 0.002611, 0.001278
12, 0.379413, 0.010117, 82.706167, 6.393833, 0.832108, 0.001063, 0.000520
13, 0.379415, 0.010117, 82.706213, 6.393787, 0.832103, 0.000433, 0.000212
14, 0.379415, 0.010117, 82.706232, 6.393768, 0.832101, 0.000176, 0.000086
